tx_id,date,amount,currency,category,merchant,description
TX000752,2025-05-31,3389.64,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000783,2025-05-31,2469.82,RUB,entertainment,Wink,Покупка в Wink
TX000017,2025-06-01,28131.31,RUB,shopping,М.Видео,Покупка в М.Видео
TX000598,2025-06-01,689.68,RUB,transport,Метро,Покупка в Метро
TX000842,2025-06-01,3161.49,RUB,food,Лента,Покупка в Лента
TX000074,2025-06-02,828.22,RUB,food,Магнит,Покупка в Магнит
TX000175,2025-06-02,2855.25,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000534,2025-06-02,9974.45,RUB,shopping,Lamoda,Покупка в Lamoda
TX000836,2025-06-02,1149.2,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000424,2025-06-03,2820.87,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000592,2025-06-03,3897.47,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000032,2025-06-04,22650.9,RUB,shopping,DNS,Покупка в DNS
TX000475,2025-06-04,2818.77,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000541,2025-06-04,1565.9,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000616,2025-06-04,4839.24,RUB,food,Магнит,Покупка в Магнит
TX000019,2025-06-05,1495.75,RUB,food,Магнит,Покупка в Магнит
TX000351,2025-06-05,12430.48,RUB,shopping,DNS,Покупка в DNS
TX000474,2025-06-05,12789.31,RUB,shopping,DNS,Покупка в DNS
TX000546,2025-06-05,949.33,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000554,2025-06-05,4296.6,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000704,2025-06-05,2733.03,RUB,food,Магнит,Покупка в Магнит
TX000187,2025-06-06,3793.13,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000894,2025-06-06,1193.37,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000957,2025-06-06,20746.38,RUB,shopping,Ozon,Покупка в Ozon
TX000015,2025-06-07,2028.85,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000084,2025-06-08,1177.27,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000357,2025-06-08,321.5,RUB,transport,Uber,Покупка в Uber
TX000652,2025-06-08,3616.05,RUB,food,Магнит,Покупка в Магнит
TX000964,2025-06-08,2458.58,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000049,2025-06-09,2594.3,RUB,shopping,Wildberries,Покупка в Wildberries
TX000506,2025-06-10,2629.09,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000361,2025-06-11,561.7,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000203,2025-06-12,23740.93,RUB,shopping,Lamoda,Покупка в Lamoda
TX000248,2025-06-12,5747.77,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000747,2025-06-12,653.76,RUB,health,Аптека Ригла,Покупка в Аптека Ригла
TX000363,2025-06-13,19468.26,RUB,shopping,DNS,Покупка в DNS
TX000946,2025-06-13,2226.36,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000330,2025-06-14,25432.08,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000413,2025-06-14,3266.97,RUB,food,Магнит,Покупка в Магнит
TX000284,2025-06-15,2463.09,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000509,2025-06-15,15964.85,RUB,shopping,Ozon,Покупка в Ozon
TX000666,2025-06-15,1063.43,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000194,2025-06-16,3110.32,RUB,food,Магнит,Покупка в Магнит
TX000390,2025-06-16,4406.69,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000650,2025-06-16,3027.98,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000706,2025-06-16,4258.49,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000994,2025-06-16,2655.61,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000623,2025-06-17,3400.42,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000699,2025-06-18,12169.68,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000513,2025-06-19,1290.09,RUB,transport,Uber,Покупка в Uber
TX000683,2025-06-19,5406.99,RUB,shopping,Lamoda,Покупка в Lamoda
TX000872,2025-06-19,1727.44,RUB,food,Лента,Покупка в Лента
TX000374,2025-06-20,1619.8,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000226,2025-06-21,3900.64,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000331,2025-06-21,16923.82,RUB,shopping,М.Видео,Покупка в М.Видео
TX000768,2025-06-21,3080.04,RUB,food,Лента,Покупка в Лента
TX000786,2025-06-21,2993.55,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000340,2025-06-22,2235.27,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000083,2025-06-23,8534.27,RUB,shopping,Ozon,Покупка в Ozon
TX000210,2025-06-23,3725.76,RUB,food,Магнит,Покупка в Магнит
TX000471,2025-06-23,3197.5,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000360,2025-06-24,1146.9,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000540,2025-06-24,2141.16,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000160,2025-06-25,4281.41,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000326,2025-06-25,5826.19,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000942,2025-06-25,3307.38,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000038,2025-06-26,3698.43,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000209,2025-06-26,2907.67,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000232,2025-06-26,1719.27,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000657,2025-06-26,646.71,RUB,food,Лента,Покупка в Лента
TX000172,2025-06-27,1086.98,RUB,transport,Метро,Покупка в Метро
TX000297,2025-06-27,3280.18,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000301,2025-06-27,2387.07,RUB,transport,Uber,Покупка в Uber
TX000559,2025-06-27,5538.63,RUB,health,Аптека 36.6,Покупка в Аптека 36.6
TX000710,2025-06-27,11959.67,RUB,shopping,DNS,Покупка в DNS
TX000206,2025-06-28,4004.62,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000910,2025-06-28,528.85,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000948,2025-06-28,5658.43,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000145,2025-06-29,5488.11,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000167,2025-06-29,3653.92,RUB,health,СМ-Клиника,Покупка в СМ-Клиника
TX000502,2025-06-29,8441.76,RUB,other,Подписка,Покупка в Подписка
TX000854,2025-06-29,610.69,RUB,transport,Uber,Покупка в Uber
TX000855,2025-06-30,2123.12,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000727,2025-07-01,1916.06,RUB,health,Аптека 36.6,Покупка в Аптека 36.6
TX000765,2025-07-01,4638.45,RUB,utilities,Мосэнергосбыт,Покупка в Мосэнергосбыт
TX000915,2025-07-01,911.36,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000528,2025-07-02,3155.25,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000705,2025-07-02,1872.79,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000067,2025-07-03,474.39,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000138,2025-07-03,2069.49,RUB,food,Магнит,Покупка в Магнит
TX000215,2025-07-03,626.32,RUB,transport,Метро,Покупка в Метро
TX000612,2025-07-03,8192.84,RUB,shopping,Wildberries,Покупка в Wildberries
TX000850,2025-07-03,2741.28,RUB,food,Магнит,Покупка в Магнит
TX000963,2025-07-03,1177.88,RUB,transport,Метро,Покупка в Метро
TX000090,2025-07-04,5090.27,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000505,2025-07-04,2941.7,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000564,2025-07-04,695.66,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000470,2025-07-05,2489.69,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000106,2025-07-07,435.37,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000213,2025-07-07,8232.07,RUB,other,Подписка,Покупка в Подписка
TX000587,2025-07-07,2965.33,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000139,2025-07-08,5212.03,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000415,2025-07-08,19142.67,RUB,shopping,Wildberries,Покупка в Wildberries
TX000671,2025-07-08,14984.72,RUB,shopping,М.Видео,Покупка в М.Видео
TX000687,2025-07-08,17625.29,RUB,shopping,DNS,Покупка в DNS
TX000458,2025-07-09,3078.9,RUB,health,Аптека Ригла,Покупка в Аптека Ригла
TX000838,2025-07-09,443.06,RUB,food,Магнит,Покупка в Магнит
TX001000,2025-07-09,4553.02,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000052,2025-07-10,3672.09,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000396,2025-07-10,2523.13,RUB,utilities,Мосэнергосбыт,Покупка в Мосэнергосбыт
TX000906,2025-07-10,4522.18,RUB,food,Лента,Покупка в Лента
TX000070,2025-07-11,12411.38,RUB,shopping,Ozon,Покупка в Ozon
TX000022,2025-07-12,4583.05,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000794,2025-07-12,505.12,RUB,entertainment,Okko,Покупка в Okko
TX000856,2025-07-12,1888.07,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000871,2025-07-12,5179.16,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000255,2025-07-13,1640.38,RUB,transport,Uber,Покупка в Uber
TX000847,2025-07-13,1572.93,RUB,entertainment,Wink,Покупка в Wink
TX000566,2025-07-14,1837.07,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000638,2025-07-14,27029.69,RUB,shopping,Lamoda,Покупка в Lamoda
TX000641,2025-07-14,2604.43,RUB,health,Аптека Ригла,Покупка в Аптека Ригла
TX000805,2025-07-14,1042.48,RUB,entertainment,Okko,Покупка в Okko
TX000916,2025-07-14,27785.38,RUB,shopping,Wildberries,Покупка в Wildberries
TX000004,2025-07-15,3089.69,RUB,food,Лента,Покупка в Лента
TX000449,2025-07-15,15773.49,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000596,2025-07-15,4590.76,RUB,food,Магнит,Покупка в Магнит
TX000867,2025-07-15,21361.9,RUB,shopping,Ozon,Покупка в Ozon
TX000093,2025-07-16,3532.41,RUB,shopping,М.Видео,Покупка в М.Видео
TX000602,2025-07-16,3676.67,RUB,food,Лента,Покупка в Лента
TX000659,2025-07-16,2202.05,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000960,2025-07-16,1257.01,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000280,2025-07-17,5819.98,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000590,2025-07-17,1520.74,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000064,2025-07-18,4795.12,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000323,2025-07-18,24447.19,RUB,shopping,Lamoda,Покупка в Lamoda
TX000830,2025-07-18,4302.09,RUB,food,Магнит,Покупка в Магнит
TX000030,2025-07-19,1634.43,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000112,2025-07-19,2121.9,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000299,2025-07-19,2131.54,RUB,other,Подписка,Покупка в Подписка
TX000493,2025-07-19,1134.35,RUB,food,Лента,Покупка в Лента
TX000804,2025-07-19,2300.16,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000199,2025-07-20,7576.02,RUB,shopping,Ozon,Покупка в Ozon
TX000317,2025-07-20,3324.4,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000463,2025-07-20,1574.7,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000696,2025-07-20,4273.15,RUB,health,Аптека 36.6,Покупка в Аптека 36.6
TX000059,2025-07-21,1939.58,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000219,2025-07-21,4105.12,RUB,food,Магнит,Покупка в Магнит
TX000224,2025-07-21,6504.97,RUB,shopping,Wildberries,Покупка в Wildberries
TX000494,2025-07-21,2620.43,RUB,food,Магнит,Покупка в Магнит
TX000002,2025-07-23,691.98,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000141,2025-07-23,16377.51,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000673,2025-07-23,679.42,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000775,2025-07-23,2220.14,RUB,food,Лента,Покупка в Лента
TX000204,2025-07-24,13041.6,RUB,shopping,Ozon,Покупка в Ozon
TX000429,2025-07-24,5940.17,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000845,2025-07-24,1395.91,RUB,food,Лента,Покупка в Лента
TX000066,2025-07-25,2980.07,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000809,2025-07-25,314.77,RUB,food,Магнит,Покупка в Магнит
TX000901,2025-07-25,20210.16,RUB,shopping,Wildberries,Покупка в Wildberries
TX000044,2025-07-26,5804.0,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000150,2025-07-26,2457.47,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000290,2025-07-26,2119.8,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000302,2025-07-26,4940.13,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000575,2025-07-26,2896.02,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000642,2025-07-26,3449.77,RUB,food,Магнит,Покупка в Магнит
TX000889,2025-07-26,2193.91,RUB,transport,АЗС Лукойл,Покупка в АЗС Лукойл
TX000166,2025-07-27,6197.53,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000576,2025-07-27,769.44,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000594,2025-07-27,1191.73,RUB,transport,Метро,Покупка в Метро
TX000010,2025-07-28,22027.09,RUB,shopping,Wildberries,Покупка в Wildberries
TX000181,2025-07-28,1714.63,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000281,2025-07-28,140.36,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000681,2025-07-28,5702.58,RUB,health,Здоровье плюс,Покупка в Здоровье плюс
TX000702,2025-07-28,4745.58,RUB,health,Аптека Ригла,Покупка в Аптека Ригла
TX000780,2025-07-28,339.04,RUB,transport,СитиМобил,Покупка в СитиМобил
TX000903,2025-07-28,3523.47,RUB,health,Медицина,Покупка в Медицина
TX000607,2025-07-29,1708.45,RUB,entertainment,Okko,Покупка в Okko
TX000987,2025-07-29,841.79,RUB,transport,АЗС Газпром,Покупка в АЗС Газпром
TX000624,2025-07-30,586.52,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000178,2025-07-31,14461.18,RUB,shopping,Lamoda,Покупка в Lamoda
TX000529,2025-07-31,3415.2,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000761,2025-07-31,4714.17,RUB,shopping,М.Видео,Покупка в М.Видео
TX000976,2025-07-31,7592.79,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000043,2025-08-01,5371.25,RUB,shopping,DNS,Покупка в DNS
TX000560,2025-08-01,3390.29,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000773,2025-08-01,3050.86,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000384,2025-08-02,29916.34,RUB,shopping,М.Видео,Покупка в М.Видео
TX000389,2025-08-02,3389.94,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000628,2025-08-02,1010.15,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000859,2025-08-02,1250.28,RUB,food,Лента,Покупка в Лента
TX000183,2025-08-03,21875.26,RUB,shopping,Lamoda,Покупка в Lamoda
TX000165,2025-08-04,5696.04,RUB,shopping,Спортмастер,Покупка в Спортмастер
TX000996,2025-08-04,3934.2,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000132,2025-08-05,6196.77,RUB,health,Здоровье плюс,Покупка в Здоровье плюс
TX000563,2025-08-05,5353.85,RUB,shopping,Ozon,Покупка в Ozon
TX000589,2025-08-05,2958.52,RUB,transport,Uber,Покупка в Uber
TX000434,2025-08-06,1659.18,RUB,entertainment,Wink,Покупка в Wink
TX000465,2025-08-06,2511.03,RUB,transport,Яндекс.Такси,Покупка в Яндекс.Такси
TX000514,2025-08-06,4381.76,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000173,2025-08-07,16895.84,RUB,shopping,Lamoda,Покупка в Lamoda
TX000802,2025-08-07,963.57,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000928,2025-08-07,4575.2,RUB,utilities,Интернет-провайдер,Покупка в Интернет-провайдер
TX000500,2025-08-08,2543.16,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000732,2025-08-08,1483.25,RUB,food,Лента,Покупка в Лента
TX000341,2025-08-09,725.15,RUB,transport,Метро,Покупка в Метро
TX000402,2025-08-09,1509.4,RUB,food,ВкусВилл,Покупка в ВкусВилл
TX000441,2025-08-09,2149.81,RUB,food,Азбука Вкуса,Покупка в Азбука Вкуса
TX000608,2025-08-09,8216.07,RUB,shopping,Lamoda,Покупка в Lamoda
TX000117,2025-08-10,2799.82,RUB,entertainment,Wink,Покупка в Wink
TX000686,2025-08-10,1441.94,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000068,2025-08-11,882.5,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000102,2025-08-11,3576.35,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000456,2025-08-11,4865.33,RUB,utilities,Мосэнергосбыт,Покупка в Мосэнергосбыт
TX000770,2025-08-11,3347.62,RUB,utilities,Мосэнергосбыт,Покупка в Мосэнергосбыт
TX000796,2025-08-11,1756.22,RUB,utilities,ЖКУ,Покупка в ЖКУ
TX000036,2025-08-12,5129.18,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000162,2025-08-12,1671.11,RUB,entertainment,Ресторан,Покупка в Ресторан
TX000234,2025-08-12,2917.04,RUB,health,СМ-Клиника,Покупка в СМ-Клиника
TX000368,2025-08-12,3152.04,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000419,2025-08-12,2811.59,RUB,food,Лента,Покупка в Лента
TX000934,2025-08-13,4152.83,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000553,2025-08-14,1800.04,RUB,entertainment,Театр.ру,Покупка в Театр.ру
TX000023,2025-08-16,1669.45,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000223,2025-08-16,3188.64,RUB,food,Перекрёсток,Покупка в Перекрёсток
TX000414,2025-08-16,3395.74,RUB,entertainment,Кинопоиск,Покупка в Кинопоиск
TX000634,2025-08-16,5555.82,RUB,shopping,М.Видео,Покупка в М.Видео
TX000793,2025-08-17,3212.16,RUB,food,Лента,Покупка в Лента
TX000873,2025-08-17,699.73,RUB,food,Лента,Покупка в Лента
TX000995,2025-08-17,3966.85,RUB,food,Пятёрочка,Покупка в Пятёрочка
TX000218,2025-08-18,2764.05,RUB,utilities,Мобильный оператор,Покупка в Мобильный оператор
TX000489,2025-08-18,1990.94,RUB,shopping,Wildberries,Покупка в Wildberries
TX000664,2025-08-18,2190.61,RUB,transport,Uber,Покупка в Uber
TX000720,2025-08-18,2915.12,RUB,food,Магнит,Покупка в Магнит
TX000857,2025-08-19,3808.96,RUB,entertainment,Боулинг,Покупка в Боулинг
TX000879,2025-08-19,26594.28,RUB,shopping,Ozon,Покупка в Ozon
TX000311,2025-08-20,5582.95,RUB,health,СМ-Клиника,Покупка в СМ-Клиника
TX000451,2025-08-20,6970.41,RUB,other,Снятие наличных,Покупка в Снятие наличных
TX000891,2025-08-20,2838.38,RUB,food,Лента,Покупка в Лента
TX000163,2025-08-21,25562.48,RUB,shopping,Wildberries,Покупка в Wildberries
TX000236,2025-08-21,7991.55,RUB,health,Медицина,Покупка в Медицина
